Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,ADA_WSVM | ORIG,10,10,1,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,ADA_WSVM | ORIG,10,10,1.5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,ADA_WSVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,ADA_WSVM | ORIG,10,10,0.7,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,ADA_WSVM | ORIG,10,10,0.5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,ADA_WSVM | ORIG,10,10,2,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,ADA_WSVM | ORIG,10,100,0.3,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(-1.9621032741239453), np.float64(0.1898127334208272), np.float64(-0.10884750822512596), np.float64(-0.008357196784832722), np.float64(0.001779029451146181), np.float64(-0.0007006454574443109), np.float64(0.0), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,100,0.5,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(-1.9621032741239453), np.float64(0.1898127334208272), np.float64(-0.10884750822512596), np.float64(-0.008357196784832722), np.float64(0.001779029451146181), np.float64(-0.0007006454574443109), np.float64(0.0), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,100,0.7,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(-1.9621032741239453), np.float64(0.1898127334208272), np.float64(-0.10884750822512596), np.float64(-0.008357196784832722), np.float64(0.001779029451146181), np.float64(-0.0007006454574443109), np.float64(0.0), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,100,1.5,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(-1.9621032741239453), np.float64(0.1898127334208272), np.float64(-0.10884750822512596), np.float64(-0.008357196784832722), np.float64(0.001779029451146181), np.float64(-0.0007006454574443109), np.float64(0.0), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,100,2,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(-1.9621032741239453), np.float64(0.1898127334208272), np.float64(-0.10884750822512596), np.float64(-0.008357196784832722), np.float64(0.001779029451146181), np.float64(-0.0007006454574443109), np.float64(0.0), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,100,1,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(-1.9621032741239453), np.float64(0.1898127334208272), np.float64(-0.10884750822512596), np.float64(-0.008357196784832722), np.float64(0.001779029451146181), np.float64(-0.0007006454574443109), np.float64(0.0), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,1000,0.5,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.12382227785678736), np.float64(-0.05032524855851666), np.float64(0.057859498821675), np.float64(-0.08880249832040576), np.float64(0.07039943862861428), np.float64(-0.06081034395246048), np.float64(-0.00867217345683432), np.float64(0.04162619031652736), np.float64(-0.03313796339470872)]"
0.2,ADA_WSVM | ORIG,10,1000,0.3,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.12382227785678736), np.float64(-0.05032524855851666), np.float64(0.057859498821675), np.float64(-0.08880249832040576), np.float64(0.07039943862861428), np.float64(-0.06081034395246048), np.float64(-0.00867217345683432), np.float64(0.04162619031652736), np.float64(-0.03313796339470872)]"
0.2,ADA_WSVM | ORIG,10,1000,0.7,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.12382227785678736), np.float64(-0.05032524855851666), np.float64(0.057859498821675), np.float64(-0.08880249832040576), np.float64(0.07039943862861428), np.float64(-0.06081034395246048), np.float64(-0.00867217345683432), np.float64(0.04162619031652736), np.float64(-0.03313796339470872)]"
0.2,ADA_WSVM | ORIG,10,1000,1.5,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.12382227785678736), np.float64(-0.05032524855851666), np.float64(0.057859498821675), np.float64(-0.08880249832040576), np.float64(0.07039943862861428), np.float64(-0.06081034395246048), np.float64(-0.00867217345683432), np.float64(0.04162619031652736), np.float64(-0.03313796339470872)]"
0.2,ADA_WSVM | ORIG,10,1000,2,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.12382227785678736), np.float64(-0.05032524855851666), np.float64(0.057859498821675), np.float64(-0.08880249832040576), np.float64(0.07039943862861428), np.float64(-0.06081034395246048), np.float64(-0.00867217345683432), np.float64(0.04162619031652736), np.float64(-0.03313796339470872)]"
0.2,ADA_WSVM | ORIG,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.12382227785678736), np.float64(-0.05032524855851666), np.float64(0.057859498821675), np.float64(-0.08880249832040576), np.float64(0.07039943862861428), np.float64(-0.06081034395246048), np.float64(-0.00867217345683432), np.float64(0.04162619031652736), np.float64(-0.03313796339470872)]"
0.2,ADA_WSVM | ORIG,10,5000,0.3,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.08476419905666212), np.float64(-0.008904708034217177), np.float64(0.02089174662924835), np.float64(-0.0006409235450307593), np.float64(4.440892098500624e-16), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,5000,0.5,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.08476419905666212), np.float64(-0.008904708034217177), np.float64(0.02089174662924835), np.float64(-0.0006409235450307593), np.float64(4.440892098500624e-16), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.2,ADA_WSVM | ORIG,10,5000,0.7,1.0,0.0,0.0,0.0,0.0,0.98,0.5,"[[392   0]
 [  8   0]]",None,"[np.float64(1.962103274123943), np.float64(0.08476419905666212), np.float64(-0.008904708034217177), np.float64(0.02089174662924835), np.float64(-0.0006409235450307593), np.float64(4.440892098500624e-16), np.float64(-2.2204460492503136e-16), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
