Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,ImADA_12_SVM | ORIG,10,10,0.3,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.3237100670391222), np.float64(-0.10791699413274822), np.float64(-0.013802083431833825), np.float64(0.0036749613845189284), np.float64(-0.00047331034590063724), np.float64(6.109960054619224e-05), np.float64(-7.885007706906682e-06), np.float64(1.0176126054828157e-06), np.float64(-1.3132901608980379e-07), np.float64(1.694880862463642e-08)]"
0.2,ADA_WSVM | ORIG,10,10,0.3,0.875,0.4,0.5916079783099616,0.42105263157894735,0.4444444444444444,0.78,0.6375,"[[70 10]
 [12  8]]",None,"[np.float64(-0.6931471805599458), np.float64(0.20598989456467895), np.float64(-0.13926882931639176), np.float64(0.15983339948126665), np.float64(0.11036888804234857), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16), np.float64(-2.2204460492503136e-16), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16)]"
0.2,WSVM | ORIG,10,10,0.5,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
0.2,ImADA_12_DecisionTree | ORIG,10,10,0.5,0.7875,0.4,0.5612486080160912,0.35555555555555557,0.32,0.71,0.5937499999999999,"[[63 17]
 [12  8]]",None,"[np.float64(3.4509760106467797), np.float64(1.6851972219712135), np.float64(-0.10648346943043453), np.float64(0.019424300284097373), np.float64(-0.0032948648177550245), np.float64(0.0005664010180880722), np.float64(-9.714681068349585e-05), np.float64(1.6668706160241254e-05), np.float64(-2.8598699177645162e-06), np.float64(4.906769264669103e-07)]"
0.2,EANR-AdaBoost2_DecisionTree | ORIG,10,10,0.3,0.775,0.3,0.4821825380496477,0.2727272727272727,0.25,0.68,0.5375000000000001,"[[62 18]
 [14  6]]",None,"[np.float64(3.69247301562038), np.float64(2.0133514139693127), np.float64(0.5374871590817947), np.float64(0.3420953373454229), np.float64(0.2530151159456641), np.float64(0.20123084528362398), np.float64(0.16720500409441894), np.float64(0.14308848710018282), np.float64(0.1250834527620302), np.float64(0.11111970190392906)]"
0.2,EANR-AdaBoost_DecisionTree | ORIG,10,10,0.3,0.825,0.35,0.5373546315051169,0.34146341463414637,0.3333333333333333,0.73,0.5875,"[[66 14]
 [13  7]]",None,"[np.float64(2.6066264115134232), np.float64(2.4124013212013438), np.float64(0.5439682857721145), np.float64(0.34456251674815974), np.float64(0.25433836768701207), np.float64(0.2020603946660811), np.float64(0.1677749344910387), np.float64(0.14350461737924605), np.float64(0.12540081698135636), np.float64(0.11136981564494562)]"
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,0.5,0.825,0.25,0.45414755311462374,0.2564102564102564,0.2631578947368421,0.71,0.5375,"[[66 14]
 [15  5]]",None,"[np.float64(2.6066264115134232), np.float64(2.0638247138296895), np.float64(-0.1091687965651962), np.float64(0.019944352704579043), np.float64(-0.003382042509118545), np.float64(0.0005814168869716115), np.float64(-9.972139443332441e-05), np.float64(1.711048583870854e-05), np.float64(-2.9356658273301657e-06), np.float64(5.036814925049487e-07)]"
0.2,EANR-AdaBoost2_SVM | ORIG,10,10,0.3,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.3237100670391222), np.float64(0.2651031995629711), np.float64(-0.1605663393784171), np.float64(0.09548098065589165), np.float64(0.026920731306491738), np.float64(-0.10323315534556189), np.float64(0.05896183397027756), np.float64(0.06948696300968597), np.float64(-0.11149707077499633), np.float64(0.048535122414979065)]"
0.2,ADA_WSVM | ORIG,10,10,0.5,0.875,0.4,0.5916079783099616,0.42105263157894735,0.4444444444444444,0.78,0.6375,"[[70 10]
 [12  8]]",None,"[np.float64(-0.6931471805599458), np.float64(0.20598989456467895), np.float64(-0.13926882931639176), np.float64(0.15983339948126665), np.float64(0.11036888804234857), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16), np.float64(-2.2204460492503136e-16), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16)]"
0.2,EANR-AdaBoost2_WSVM | ORIG,10,10,0.3,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.3237100670391222), np.float64(0.21125148093300639), np.float64(0.027490316643851615), np.float64(-0.21366659251836626), np.float64(0.1929033740114062), np.float64(0.1034700408955751), np.float64(-0.06569378750400386), np.float64(-0.06642608386902182), np.float64(-0.06642608386902207), np.float64(-0.06642608386902227)]"
0.2,ImADA_12_WSVM | ORIG,10,10,0.5,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.0599393522162537), np.float64(-0.21726134222955112), np.float64(0.11031419151123678), np.float64(0.023750543504052705), np.float64(-0.08728281996517853), np.float64(0.13221855723446918), np.float64(-0.1275334442680606), np.float64(0.12419250043397552), np.float64(-0.09861047060829921), np.float64(0.014496338857158557)]"
0.2,EANR-AdaBoost2_DecisionTree | ORIG,10,10,0.5,0.825,0.35,0.5373546315051169,0.34146341463414637,0.3333333333333333,0.73,0.5875,"[[66 14]
 [13  7]]",None,"[np.float64(3.4509760106467797), np.float64(2.0360134633795157), np.float64(0.5380079724579098), np.float64(0.3422946306662608), np.float64(0.2531222155576571), np.float64(0.20129805775715753), np.float64(0.16725121268887), np.float64(0.14312224178499644), np.float64(0.1251092048815109), np.float64(0.11114000247026225)]"
0.2,ImADA_12_SVM | ORIG,10,10,0.5,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.0599393522162537), np.float64(-0.10791699413274822), np.float64(-0.013802083431833825), np.float64(0.0036749613845189284), np.float64(-0.00047331034590063724), np.float64(6.109960054619224e-05), np.float64(-7.885007706906682e-06), np.float64(1.0176126054828157e-06), np.float64(-1.3132901608980379e-07), np.float64(1.694880862463642e-08)]"
0.2,EANR-AdaBoost_SVM | ORIG,10,10,0.3,0.9,0.35,0.5612486080160912,0.4,0.4666666666666667,0.79,0.625,"[[72  8]
 [13  7]]",None,"[np.float64(0.28371315868999036), np.float64(0.09041494634962256), np.float64(-0.13130508394864068), np.float64(0.13692108604630468), np.float64(-0.08261877829593132), np.float64(0.15692749461049577), np.float64(-0.12349435144484955), np.float64(0.09987636596724978), np.float64(0.05603743771185703), np.float64(-0.10297179091850801)]"
0.2,EANR-AdaBoost_DecisionTree | ORIG,10,10,0.5,0.825,0.3,0.4974937185533099,0.3,0.3,0.72,0.5625,"[[66 14]
 [14  6]]",None,"[np.float64(2.6066264115134232), np.float64(2.4124013212013438), np.float64(0.5439682857721145), np.float64(0.34456251674815974), np.float64(0.25433836768701207), np.float64(0.2020603946660811), np.float64(0.1677749344910387), np.float64(0.14350461737924605), np.float64(0.12540081698135636), np.float64(0.11136981564494562)]"
0.2,WSVM | ORIG,10,10,0.7,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
0.2,EANR-AdaBoost1_SVM | ORIG,10,10,0.5,0.125,0.6,0.27386127875258304,0.23529411764705882,0.14634146341463414,0.22,0.36250000000000004,"[[10 70]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.049558887699344634), np.float64(-0.04191665924687933), np.float64(0.02744319891190758), np.float64(-0.024368901499600998), np.float64(0.023568897079559784), np.float64(-0.022602492007038857), np.float64(-0.0003088631478922649), np.float64(4.116872221272007e-05), np.float64(-5.486353668748356e-06)]"
0.2,EANR-AdaBoost_WSVM | ORIG,10,10,0.3,0.85,0.4,0.5830951894845301,0.4,0.4,0.76,0.625,"[[68 12]
 [12  8]]",None,"[np.float64(0.28371315868999036), np.float64(0.11237051712464649), np.float64(-0.07524026978747614), np.float64(-0.06835535210274131), np.float64(0.06560600749739984), np.float64(0.15711244469801391), np.float64(-0.01262187526806509), np.float64(4.970976026865595e-05), np.float64(-1.9547758125275785e-07), np.float64(7.686966612882812e-10)]"
0.2,ImADA_12_DecisionTree | ORIG,10,10,0.7,0.775,0.35,0.5208166663999915,0.3111111111111111,0.28,0.69,0.5625000000000001,"[[62 18]
 [13  7]]",None,"[np.float64(3.2965286052970875), np.float64(1.7077453561280025), np.float64(-0.10670501742249039), np.float64(0.019467149451457784), np.float64(-0.0033020497690945103), np.float64(0.0005676385278558843), np.float64(-9.735899276160102e-05), np.float64(1.67051149972034e-05), np.float64(-2.866116564538862e-06), np.float64(4.917486855390794e-07)]"
0.2,EANR-AdaBoost1_WSVM | ORIG,10,10,0.5,0.6625,0.6,0.6304760106459245,0.4067796610169492,0.3076923076923077,0.65,0.6312500000000001,"[[53 27]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.17863965806296922), np.float64(-0.10380514965129657), np.float64(0.045110870036049404), np.float64(-0.009135781027913927), np.float64(0.0010107087833385658), np.float64(-0.00011121590174425683), np.float64(1.2245231493815747e-05), np.float64(-1.3481511565076467e-06), np.float64(1.4842713986394183e-07)]"
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,0.7,0.85,0.25,0.4609772228646444,0.2702702702702703,0.29411764705882354,0.73,0.55,"[[68 12]
 [15  5]]",None,"[np.float64(2.6066264115134232), np.float64(2.0638247138296895), np.float64(-0.1091687965651962), np.float64(0.019944352704579043), np.float64(-0.003382042509118545), np.float64(0.0005814168869716115), np.float64(-9.972139443332441e-05), np.float64(1.711048583870854e-05), np.float64(-2.9356658273301657e-06), np.float64(5.036814925049487e-07)]"
0.2,EANR-AdaBoost2_SVM | ORIG,10,10,0.5,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.0599393522162537), np.float64(0.2651031995629712), np.float64(-0.1605663393784171), np.float64(0.09548098065589165), np.float64(0.026920731306491738), np.float64(-0.10323315534556142), np.float64(0.05896183397027697), np.float64(0.06948696300968597), np.float64(-0.11149707077499613), np.float64(0.048535122414979065)]"
0.2,EANR-AdaBoost_SVM | ORIG,10,10,0.5,0.9,0.35,0.5612486080160912,0.4,0.4666666666666667,0.79,0.625,"[[72  8]
 [13  7]]",None,"[np.float64(0.28371315868999036), np.float64(0.09041494634962256), np.float64(-0.13130508394864068), np.float64(0.13692108604630468), np.float64(-0.08261877829593132), np.float64(0.15692749461049577), np.float64(-0.12349435144484955), np.float64(0.09987636596724978), np.float64(0.05603743771185703), np.float64(-0.10297179091850801)]"
0.2,EANR-AdaBoost2_DecisionTree | ORIG,10,10,0.7,0.7875,0.35,0.5249999999999999,0.3181818181818182,0.2916666666666667,0.7,0.5687500000000001,"[[63 17]
 [13  7]]",None,"[np.float64(3.2965286052970875), np.float64(2.058376770164953), np.float64(0.5384995361725672), np.float64(0.34248256502029484), np.float64(0.25322317700168384), np.float64(0.20136140656363086), np.float64(0.16729475997293847), np.float64(0.14315404986389507), np.float64(0.12513347045677242), np.float64(0.11115913031066797)]"
0.2,EANR-AdaBoost2_WSVM | ORIG,10,10,0.5,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.0599393522162537), np.float64(0.1810946792353268), np.float64(0.031767067545413724), np.float64(-0.20293464201227326), np.float64(-0.007943373027174783), np.float64(0.22165955209607016), np.float64(0.10892877157109165), np.float64(-0.06721702565387584), np.float64(-0.0680153154832096), np.float64(-0.06801531548321005)]"
0.2,EANR-AdaBoost_WSVM | ORIG,10,10,0.5,0.85,0.4,0.5830951894845301,0.4,0.4,0.76,0.625,"[[68 12]
 [12  8]]",None,"[np.float64(0.28371315868999036), np.float64(0.11237051712464649), np.float64(-0.07524026978747614), np.float64(-0.06835535210274131), np.float64(0.06560600749739984), np.float64(0.15711244469801391), np.float64(-0.01262187526806509), np.float64(4.970976026865595e-05), np.float64(-1.9547758125275785e-07), np.float64(7.686966612882812e-10)]"
0.2,ImADA_12_WSVM | ORIG,10,10,0.7,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.8834952642700399), np.float64(-0.2193909633090658), np.float64(0.0898213180249947), np.float64(0.030628793475461123), np.float64(-0.06662699557229503), np.float64(0.1606164324750429), np.float64(-0.19683423955039273), np.float64(0.16251248515667735), np.float64(-0.03707535204874186), np.float64(-0.03729756184143729)]"
0.2,EANR-AdaBoost_DecisionTree | ORIG,10,10,0.7,0.8125,0.35,0.5332682251925386,0.3333333333333333,0.3181818181818182,0.72,0.58125,"[[65 15]
 [13  7]]",None,"[np.float64(2.6066264115134232), np.float64(2.4124013212013438), np.float64(0.5439682857721145), np.float64(0.34456251674815974), np.float64(0.25433836768701207), np.float64(0.2020603946660811), np.float64(0.1677749344910387), np.float64(0.14350461737924605), np.float64(0.12540081698135636), np.float64(0.11136981564494562)]"
0.2,ADA_WSVM | ORIG,10,10,0.7,0.875,0.4,0.5916079783099616,0.42105263157894735,0.4444444444444444,0.78,0.6375,"[[70 10]
 [12  8]]",None,"[np.float64(-0.6931471805599458), np.float64(0.20598989456467895), np.float64(-0.13926882931639176), np.float64(0.15983339948126665), np.float64(0.11036888804234857), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16), np.float64(-2.2204460492503136e-16), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16)]"
0.2,ImADA_12_SVM | ORIG,10,10,0.7,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.8834952642700399), np.float64(-0.10791699413274841), np.float64(-0.013802083431834283), np.float64(0.0036749613845195894), np.float64(-0.0004733103459008595), np.float64(6.109960054619224e-05), np.float64(-7.885007706906682e-06), np.float64(1.0176126059269038e-06), np.float64(-1.313290165338931e-07), np.float64(1.6948809068725617e-08)]"
0.2,WSVM | ORIG,10,10,1,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
0.2,ImADA_12_DecisionTree | ORIG,10,10,1,0.8625,0.2,0.4153311931459038,0.22857142857142856,0.26666666666666666,0.73,0.53125,"[[69 11]
 [16  4]]",None,"[np.float64(3.1386349297734513), np.float64(1.7409695544486419), np.float64(-0.10701421246240932), np.float64(0.019526967339023746), np.float64(-0.003312079424484388), np.float64(0.0005693660164328144), np.float64(-9.765518555847569e-05), np.float64(1.6755939452374707e-05), np.float64(-2.8748364913089924e-06), np.float64(4.932447934129429e-07)]"
0.2,EANR-AdaBoost1_SVM | ORIG,10,10,0.7,0.125,0.6,0.27386127875258304,0.23529411764705882,0.14634146341463414,0.22,0.36250000000000004,"[[10 70]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.049558887699344634), np.float64(-0.04191665924687933), np.float64(0.02744319891190758), np.float64(-0.024368901499600998), np.float64(0.023568897079559784), np.float64(-0.022602492007038857), np.float64(-0.0003088631478922649), np.float64(4.116872221272007e-05), np.float64(-5.486353668748356e-06)]"
0.2,EANR-AdaBoost1_WSVM | ORIG,10,10,0.7,0.6625,0.6,0.6304760106459245,0.4067796610169492,0.3076923076923077,0.65,0.6312500000000001,"[[53 27]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.17863965806296922), np.float64(-0.10380514965129657), np.float64(0.045110870036049404), np.float64(-0.009135781027913927), np.float64(0.0010107087833385658), np.float64(-0.00011121590174425683), np.float64(1.2245231493815747e-05), np.float64(-1.3481511565076467e-06), np.float64(1.4842713986394183e-07)]"
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,1,0.825,0.25,0.45414755311462374,0.2564102564102564,0.2631578947368421,0.71,0.5375,"[[66 14]
 [15  5]]",None,"[np.float64(2.6066264115134232), np.float64(2.0638247138296895), np.float64(-0.1091687965651962), np.float64(0.019944352704579043), np.float64(-0.003382042509118545), np.float64(0.0005814168869716115), np.float64(-9.972139443332441e-05), np.float64(1.711048583870854e-05), np.float64(-2.9356658273301657e-06), np.float64(5.036814925049487e-07)]"
0.2,EANR-AdaBoost2_SVM | ORIG,10,10,0.7,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.8834952642700399), np.float64(0.265103199562971), np.float64(-0.1605663393784171), np.float64(0.09548098065589165), np.float64(0.02692073130649153), np.float64(-0.10323315534556142), np.float64(0.058961833970277065), np.float64(0.06948696300968597), np.float64(-0.11149707077499613), np.float64(0.048535122414979065)]"
0.2,EANR-AdaBoost_SVM | ORIG,10,10,0.7,0.9,0.35,0.5612486080160912,0.4,0.4666666666666667,0.79,0.625,"[[72  8]
 [13  7]]",None,"[np.float64(0.28371315868999036), np.float64(0.09041494634962256), np.float64(-0.13130508394864068), np.float64(0.13692108604630468), np.float64(-0.08261877829593132), np.float64(0.15692749461049577), np.float64(-0.12349435144484955), np.float64(0.09987636596724978), np.float64(0.05603743771185703), np.float64(-0.10297179091850801)]"
0.2,EANR-AdaBoost2_WSVM | ORIG,10,10,0.7,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.8834952642700399), np.float64(0.17794854775203123), np.float64(0.0464288414172831), np.float64(-0.2035139756055115), np.float64(-0.011204000438422712), np.float64(0.2305294584916694), np.float64(0.10530811071803471), np.float64(-0.0004586864081325229), np.float64(2.0330572837784976e-06), np.float64(-9.01066779316492e-09)]"
0.2,EANR-AdaBoost2_DecisionTree | ORIG,10,10,1,0.8625,0.2,0.4153311931459038,0.22857142857142856,0.26666666666666666,0.73,0.53125,"[[69 11]
 [16  4]]",None,"[np.float64(3.1386349297734513), np.float64(2.091343036355166), np.float64(0.5391856217136755), np.float64(0.3427445990085497), np.float64(0.2533638911005987), np.float64(0.2014496797133652), np.float64(0.16735543261606298), np.float64(0.1431983626155586), np.float64(0.12516727320037166), np.float64(0.11118577460859733)]"
0.2,EANR-AdaBoost_WSVM | ORIG,10,10,0.7,0.85,0.4,0.5830951894845301,0.4,0.4,0.76,0.625,"[[68 12]
 [12  8]]",None,"[np.float64(0.28371315868999036), np.float64(0.11237051712464649), np.float64(-0.07524026978747614), np.float64(-0.06835535210274131), np.float64(0.06560600749739984), np.float64(0.15711244469801391), np.float64(-0.01262187526806509), np.float64(4.970976026865595e-05), np.float64(-1.9547758125275785e-07), np.float64(7.686966612882812e-10)]"
0.2,ADA_WSVM | ORIG,10,10,1,0.875,0.4,0.5916079783099616,0.42105263157894735,0.4444444444444444,0.78,0.6375,"[[70 10]
 [12  8]]",None,"[np.float64(-0.6931471805599458), np.float64(0.20598989456467895), np.float64(-0.13926882931639176), np.float64(0.15983339948126665), np.float64(0.11036888804234857), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16), np.float64(-2.2204460492503136e-16), np.float64(-4.440892098500628e-16), np.float64(-2.2204460492503136e-16)]"
0.2,EANR-AdaBoost_DecisionTree | ORIG,10,10,1,0.825,0.3,0.4974937185533099,0.3,0.3,0.72,0.5625,"[[66 14]
 [14  6]]",None,"[np.float64(2.6066264115134232), np.float64(2.4124013212013438), np.float64(0.5439682857721145), np.float64(0.34456251674815974), np.float64(0.25433836768701207), np.float64(0.2020603946660811), np.float64(0.1677749344910387), np.float64(0.14350461737924605), np.float64(0.12540081698135636), np.float64(0.11136981564494562)]"
0.2,ImADA_12_SVM | ORIG,10,10,1,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.6931471805599451), np.float64(-0.10791699413274822), np.float64(-0.013802083431834283), np.float64(0.0036749613845189284), np.float64(-0.000473310345900415), np.float64(6.109960054619224e-05), np.float64(-7.885007706906682e-06), np.float64(1.0176126059269038e-06), np.float64(-1.313290165338931e-07), np.float64(1.6948809068725617e-08)]"
0.2,WSVM | ORIG,10,10,1.5,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
0.2,ImADA_12_WSVM | ORIG,10,10,1,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.6931471805599451), np.float64(-0.20293601285648225), np.float64(0.08628268618475007), np.float64(0.05436938077992817), np.float64(-0.11971367553502513), np.float64(0.18036959040417425), np.float64(-0.05500326197082575), np.float64(-0.10802176072323517), np.float64(0.13089695335354093), np.float64(-0.026051202150147803)]"
0.2,ImADA_12_DecisionTree | ORIG,10,10,1.5,0.825,0.2,0.406201920231798,0.21052631578947367,0.2222222222222222,0.7,0.5125,"[[66 14]
 [16  4]]",None,"[np.float64(2.969334561746274), np.float64(1.7946833254275087), np.float64(-0.10747352035930503), np.float64(0.019615863282666457), np.float64(-0.003326983275119441), np.float64(0.0005719330644333706), np.float64(-9.80953269429743e-05), np.float64(1.68314644348828e-05), np.float64(-2.887794274608001e-06), np.float64(4.954680049390525e-07)]"
0.2,EANR-AdaBoost1_WSVM | ORIG,10,10,1,0.6625,0.6,0.6304760106459245,0.4067796610169492,0.3076923076923077,0.65,0.6312500000000001,"[[53 27]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.17863965806296922), np.float64(-0.10380514965129657), np.float64(0.045110870036049404), np.float64(-0.009135781027913927), np.float64(0.0010107087833385658), np.float64(-0.00011121590174425683), np.float64(1.2245231493815747e-05), np.float64(-1.3481511565076467e-06), np.float64(1.4842713986394183e-07)]"
0.2,EANR-AdaBoost1_SVM | ORIG,10,10,1,0.125,0.6,0.27386127875258304,0.23529411764705882,0.14634146341463414,0.22,0.36250000000000004,"[[10 70]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.049558887699344634), np.float64(-0.04191665924687933), np.float64(0.02744319891190758), np.float64(-0.024368901499600998), np.float64(0.023568897079559784), np.float64(-0.022602492007038857), np.float64(-0.0003088631478922649), np.float64(4.116872221272007e-05), np.float64(-5.486353668748356e-06)]"
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,1.5,0.8375,0.3,0.5012484413940855,0.3076923076923077,0.3157894736842105,0.73,0.5687500000000001,"[[67 13]
 [14  6]]",None,"[np.float64(2.6066264115134232), np.float64(2.0638247138296895), np.float64(-0.1091687965651962), np.float64(0.019944352704579043), np.float64(-0.003382042509118545), np.float64(0.0005814168869716115), np.float64(-9.972139443332441e-05), np.float64(1.711048583870854e-05), np.float64(-2.9356658273301657e-06), np.float64(5.036814925049487e-07)]"
0.2,EANR-AdaBoost2_SVM | ORIG,10,10,1,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(0.6931471805599451), np.float64(0.2651031995629712), np.float64(-0.1605663393784171), np.float64(0.09548098065589165), np.float64(0.026920731306491738), np.float64(-0.10323315534556189), np.float64(0.058961833970277364), np.float64(0.06948696300968579), np.float64(-0.11149707077499633), np.float64(0.048535122414979065)]"
